Dog Name,Breed Name,Count,Borough Name
Bella,Yorkshire Terrier,128,Bronx
Bella,Shih Tzu,100,Bronx
Bella,Chihuahua,43,Bronx
Bella,American Pit Bull Terrier/Pit Bull,35,Bronx
Bella,Shih Tzu Crossbreed,35,Bronx
Bella,Others,563,Bronx
Max,Shih Tzu,100,Bronx
Max,Others,535,Bronx
Max,Yorkshire Terrier,78,Bronx
Max,Maltese,40,Bronx
Max,Chihuahua,29,Bronx
Max,American Pit Bull Terrier/Pit Bull,26,Bronx
Luna,Yorkshire Terrier,52,Bronx
Luna,Others,469,Bronx
Luna,Siberian Husky,45,Bronx
Luna,American Pit Bull Terrier/Pit Bull,36,Bronx
Luna,German Shepherd Dog,33,Bronx
Luna,Chihuahua,32,Bronx
Coco,Shih Tzu,78,Bronx
Coco,Chihuahua,59,Bronx
Coco,Others,315,Bronx
Coco,Yorkshire Terrier,43,Bronx
Coco,Shih Tzu Crossbreed,38,Bronx
Coco,Maltese,37,Bronx
Rocky,Others,433,Bronx
Rocky,Yorkshire Terrier,40,Bronx
Rocky,Shih Tzu,37,Bronx
Rocky,Shih Tzu Crossbreed,23,Bronx
Rocky,American Pit Bull Mix / Pit Bull Mix,23,Bronx
Rocky,American Pit Bull Terrier/Pit Bull,23,Bronx
Princess,Shih Tzu,80,Bronx
Princess,Others,305,Bronx
Princess,Chihuahua,51,Bronx
Princess,Yorkshire Terrier,41,Bronx
Princess,American Pit Bull Mix / Pit Bull Mix,23,Bronx
Princess,Maltese,23,Bronx
Lucky,Others,321,Bronx
Lucky,Yorkshire Terrier,35,Bronx
Lucky,Shih Tzu,34,Bronx
Lucky,Chihuahua,30,Bronx
Lucky,Shih Tzu Crossbreed,18,Bronx
Lucky,Maltese,16,Bronx
Teddy,Shih Tzu Crossbreed,70,Bronx
Teddy,Shih Tzu,54,Bronx
Teddy,Yorkshire Terrier,50,Bronx
Teddy,Others,220,Bronx
Teddy,Maltese,19,Bronx
Teddy,Morkie,15,Bronx
Lola,Shih Tzu,57,Bronx
Lola,Yorkshire Terrier,33,Bronx
Lola,Chihuahua,26,Bronx
Lola,American Pit Bull Terrier/Pit Bull,24,Bronx
Lola,Others,264,Bronx
Lola,American Pit Bull Mix / Pit Bull Mix,17,Bronx
Oreo,Shih Tzu,99,Bronx
Oreo,Shih Tzu Crossbreed,35,Bronx
Oreo,Others,209,Bronx
Oreo,American Pit Bull Terrier/Pit Bull,19,Bronx
Oreo,Havanese,18,Bronx
Oreo,American Pit Bull Mix / Pit Bull Mix,16,Bronx
Bella,Others,1102,Brooklyn
Bella,Yorkshire Terrier,136,Brooklyn
Bella,Shih Tzu,113,Brooklyn
Bella,Maltese,92,Brooklyn
Bella,Chihuahua,70,Brooklyn
Bella,American Pit Bull Terrier/Pit Bull,56,Brooklyn
Max,Yorkshire Terrier,154,Brooklyn
Max,Others,913,Brooklyn
Max,Shih Tzu,116,Brooklyn
Max,American Pit Bull Terrier/Pit Bull,47,Brooklyn
Max,American Pit Bull Mix / Pit Bull Mix,39,Brooklyn
Max,Labrador Retriever Crossbreed,37,Brooklyn
Luna,Others,931,Brooklyn
Luna,Labrador Retriever Crossbreed,59,Brooklyn
Luna,Labrador Retriever,52,Brooklyn
Luna,Shih Tzu,42,Brooklyn
Luna,Terrier mix,41,Brooklyn
Luna,Yorkshire Terrier,40,Brooklyn
Charlie,Others,851,Brooklyn
Charlie,Cavalier King Charles Spaniel,52,Brooklyn
Charlie,Yorkshire Terrier,47,Brooklyn
Charlie,Labrador Retriever Crossbreed,46,Brooklyn
Charlie,Shih Tzu,45,Brooklyn
Charlie,Labrador Retriever,32,Brooklyn
Rocky,Others,716,Brooklyn
Rocky,Yorkshire Terrier,91,Brooklyn
Rocky,Shih Tzu,60,Brooklyn
Rocky,Chihuahua,54,Brooklyn
Rocky,Boxer,39,Brooklyn
Rocky,American Pit Bull Terrier/Pit Bull,33,Brooklyn
Lola,Others,707,Brooklyn
Lola,Shih Tzu,61,Brooklyn
Lola,Yorkshire Terrier,57,Brooklyn
Lola,Chihuahua,47,Brooklyn
Lola,Labrador Retriever Crossbreed,47,Brooklyn
Lola,American Pit Bull Mix / Pit Bull Mix,36,Brooklyn
Coco,Yorkshire Terrier,103,Brooklyn
Coco,Shih Tzu,87,Brooklyn
Coco,Others,569,Brooklyn
Coco,Chihuahua,46,Brooklyn
Coco,Maltese,42,Brooklyn
Coco,Shih Tzu Crossbreed,25,Brooklyn
Lucky,Yorkshire Terrier,97,Brooklyn
Lucky,Shih Tzu,92,Brooklyn
Lucky,Others,522,Brooklyn
Lucky,Maltese,73,Brooklyn
Lucky,Chihuahua,43,Brooklyn
Lucky,German Shepherd Dog,24,Brooklyn
Lucy,Others,639,Brooklyn
Lucy,Shih Tzu,51,Brooklyn
