AnimalBirthYear,AnimalName,Count
2001,BELLA,4.0
2001,CHARLIE,121.0
2001,COCO,1.0
2001,DAISY,36.0
2001,LOLA,16.0
2001,LUCY,100.0
2001,MAX,529.0
2001,OLIVER,36.0
2001,TEDDY,4.0
2002,BELLA,16.0
2002,CHARLIE,100.0
2002,COCO,25.0
2002,DAISY,225.0
2002,LOLA,64.0
2002,LUCY,196.0
2002,LUNA,16.0
2002,MAX,225.0
2002,OLIVER,4.0
2002,TEDDY,16.0
2003,BELLA,100.0
2003,CHARLIE,324.0
2003,COCO,289.0
2003,DAISY,400.0
2003,LOLA,441.0
2003,LUCY,729.0
2003,LUNA,9.0
2003,MAX,900.0
2003,OLIVER,225.0
2003,TEDDY,144.0
2004,BELLA,900.0
2004,CHARLIE,169.0
2004,COCO,400.0
2004,DAISY,225.0
2004,LOLA,900.0
2004,LUCY,324.0
2004,LUNA,81.0
2004,MAX,49.0
2004,OLIVER,289.0
2004,TEDDY,81.0
2005,BELLA,2601.0
2005,CHARLIE,4096.0
2005,COCO,289.0
2005,DAISY,676.0
2005,LOLA,4900.0
2005,LUCY,784.0
2005,LUNA,49.0
2005,MAX,1849.0
2005,OLIVER,361.0
2005,TEDDY,625.0
2006,BELLA,676.0
2006,CHARLIE,2025.0
2006,COCO,3481.0
2006,DAISY,289.0
2006,LOLA,3136.0
2006,LUCY,2304.0
2006,LUNA,225.0
2006,MAX,2116.0
2006,OLIVER,729.0
2006,TEDDY,1089.0
2007,BELLA,6561.0
2007,CHARLIE,6889.0
2007,COCO,1024.0
2007,DAISY,2304.0
2007,LOLA,3721.0
2007,LUCY,5041.0
2007,LUNA,1296.0
2007,MAX,4624.0
2007,OLIVER,400.0
2007,TEDDY,1764.0
2008,BELLA,3721.0
2008,CHARLIE,3721.0
2008,COCO,5776.0
2008,DAISY,10816.0
2008,LOLA,5625.0
2008,LUCY,3844.0
2008,LUNA,3364.0
2008,MAX,3364.0
2008,OLIVER,900.0
2008,TEDDY,4096.0
2009,BELLA,7921.0
2009,CHARLIE,5625.0
2009,COCO,5329.0
2009,DAISY,1024.0
2009,LOLA,3969.0
2009,LUCY,13924.0
2009,LUNA,441.0
2009,MAX,7225.0
2009,OLIVER,1296.0
2009,TEDDY,1521.0
2010,BELLA,7569.0
2010,CHARLIE,11025.0
2010,COCO,3844.0
2010,DAISY,6084.0
2010,LOLA,5776.0
2010,LUCY,4489.0
2010,LUNA,1849.0
2010,MAX,6241.0
2010,OLIVER,4489.0
2010,TEDDY,3969.0
2011,BELLA,10816.0
2011,CHARLIE,8464.0
2011,COCO,6561.0
2011,DAISY,3136.0
2011,LOLA,10201.0
2011,LUCY,18769.0
2011,LUNA,1296.0
2011,MAX,7569.0
2011,OLIVER,2704.0
2011,TEDDY,1225.0
2012,BELLA,11236.0
2012,CHARLIE,13225.0
2012,COCO,10201.0
2012,DAISY,5625.0
2012,LOLA,10404.0
2012,LUCY,12544.0
2012,LUNA,2809.0
2012,MAX,7396.0
2012,OLIVER,3844.0
2012,TEDDY,4489.0
2013,BELLA,5776.0
2013,CHARLIE,24025.0
2013,COCO,6400.0
