AnimalBirthYear,AnimalName,Count
2001,BELLA,4.0
2001,BUDDY,36.0
2001,COCO,1.0
2001,LUCKY,36.0
2001,LUNA,16.0
2001,MAX,16.0
2001,MILO,1.0
2002,BELLA,169.0
2002,BUDDY,256.0
2002,CHARLIE,16.0
2002,COCO,64.0
2002,LUCKY,196.0
2002,MAX,36.0
2002,ROCKY,36.0
2003,BELLA,9.0
2003,BUDDY,9.0
2003,CHARLIE,36.0
2003,COCO,400.0
2003,LUCKY,169.0
2003,LUNA,4.0
2003,MAX,529.0
2003,MILO,4.0
2003,ROCKY,100.0
2004,BELLA,441.0
2004,BUDDY,576.0
2004,CHARLIE,576.0
2004,COCO,529.0
2004,LUCKY,81.0
2004,LUNA,36.0
2004,MAX,289.0
2004,MILO,9.0
2004,ROCKY,1225.0
2005,BELLA,1849.0
2005,BUDDY,400.0
2005,CHARLIE,1444.0
2005,COCO,729.0
2005,LUCKY,729.0
2005,LUNA,64.0
2005,MAX,1849.0
2005,MILO,64.0
2005,ROCKY,676.0
2006,BELLA,2304.0
2006,BUDDY,1849.0
2006,CHARLIE,841.0
2006,COCO,4225.0
2006,LUCKY,2601.0
2006,LUNA,4.0
2006,MAX,1849.0
2006,MILO,36.0
2006,ROCKY,900.0
2007,BELLA,4489.0
2007,BUDDY,784.0
2007,CHARLIE,1156.0
2007,COCO,2704.0
2007,LUCKY,3481.0
2007,LUNA,64.0
2007,MAX,6400.0
2007,MILO,100.0
2007,ROCKY,3481.0
2008,BELLA,4356.0
2008,BUDDY,3025.0
2008,CHARLIE,3136.0
2008,COCO,4489.0
2008,LUCKY,2116.0
2008,LUNA,121.0
2008,MAX,3844.0
2008,MILO,576.0
2008,ROCKY,6084.0
2009,BELLA,7396.0
2009,BUDDY,625.0
2009,CHARLIE,1444.0
2009,COCO,3721.0
2009,LUCKY,576.0
2009,LUNA,196.0
2009,MAX,11025.0
2009,MILO,144.0
2009,ROCKY,1764.0
2010,BELLA,16900.0
2010,BUDDY,2704.0
2010,CHARLIE,2304.0
2010,COCO,7056.0
2010,LUCKY,3249.0
2010,LUNA,841.0
2010,MAX,7744.0
2010,MILO,576.0
2010,ROCKY,4096.0
2011,BELLA,11236.0
2011,BUDDY,2025.0
2011,CHARLIE,3025.0
2011,COCO,3136.0
2011,LUCKY,4225.0
2011,LUNA,1296.0
2011,MAX,9801.0
2011,MILO,1089.0
2011,ROCKY,5329.0
2012,BELLA,4356.0
2012,BUDDY,3721.0
2012,CHARLIE,7225.0
2012,COCO,2116.0
2012,LUCKY,2401.0
2012,LUNA,1156.0
2012,MAX,6241.0
2012,MILO,2401.0
2012,ROCKY,1764.0
2013,BELLA,15625.0
2013,BUDDY,2809.0
2013,CHARLIE,1936.0
2013,COCO,9801.0
2013,LUCKY,1369.0
2013,LUNA,4096.0
2013,MAX,3249.0
2013,MILO,676.0
2013,ROCKY,3721.0
2014,BELLA,13456.0
2014,BUDDY,2116.0
2014,CHARLIE,5329.0
2014,COCO,8100.0
2014,LUCKY,5329.0
2014,LUNA,2401.0
2014,MAX,7225.0
2014,MILO,3969.0
2014,ROCKY,3969.0
2015,BELLA,11664.0
2015,BUDDY,3025.0
2015,CHARLIE,3249.0
2015,COCO,3364.0
2015,LUCKY,1521.0
2015,LUNA,3249.0
2015,MAX,7396.0
2015,MILO,3600.0
2015,ROCKY,3969.0
2016,BELLA,7744.0
2016,BUDDY,3249.0
2016,CHARLIE,5184.0
2016,COCO,3721.0
2016,LUCKY,2704.0
2016,LUNA,7921.0
2016,MAX,17424.0
2016,MILO,3969.0
2016,NOT,1764.0
2016,ROCKY,7396.0
2017,BELLA,10000.0
2017,BUDDY,529.0
2017,CHARLIE,4624.0
2017,COCO,4489.0
2017,LUCKY,2500.0
2017,LUNA,10404.0
2017,MAX,13456.0
2017,MILO,4356.0
2017,NOT,3600.0
2017,ROCKY,3249.0
2018,BELLA,10816.0
2018,BUDDY,1444.0
2018,CHARLIE,2704.0
2018,COCO,3721.0
2018,LUCKY,1521.0
2018,LUNA,11881.0
2018,MAX,4225.0
2018,MILO,4225.0
2018,NOT,7921.0
2018,ROCKY,2809.0
2019,BELLA,5041.0
2019,BUDDY,484.0
2019,CHARLIE,1296.0
2019,COCO,4096.0
2019,LUCKY,576.0
2019,LUNA,10609.0
2019,MAX,6724.0
2019,MILO,7569.0
2019,NOT,16900.0
2019,ROCKY,1600.0
2020,BELLA,5929.0
2020,BUDDY,400.0
2020,CHARLIE,1369.0
2020,COCO,3136.0
2020,LUCKY,1296.0
2020,LUNA,9801.0
2020,MAX,1156.0
2020,MILO,6084.0
2020,NOT,21025.0
2020,ROCKY,1089.0
2021,BELLA,2809.0
2021,BUDDY,196.0
2021,CHARLIE,729.0
2021,COCO,1024.0
2021,LUCKY,625.0
2021,LUNA,4761.0
2021,MAX,2304.0
2021,MILO,3136.0
2021,NOT,4900.0
2021,ROCKY,289.0
2022,BELLA,441.0
2022,BUDDY,121.0
2022,CHARLIE,196.0
2022,COCO,676.0
2022,LUCKY,144.0
2022,LUNA,1296.0
2022,MAX,529.0
2022,MILO,1681.0
2022,NOT,4624.0
2022,ROCKY,196.0
2023,BELLA,81.0
2023,BUDDY,4.0
2023,CHARLIE,25.0
2023,COCO,9.0
2023,LUCKY,4.0
2023,LUNA,100.0
2023,MAX,1.0
2023,MILO,64.0
2023,NOT,36.0
2023,ROCKY,16.0
