AnimalBirthYear,AnimalName,Count
2001,BAILEY,1.0
2001,BELLA,4.0
2001,BUDDY,16.0
2001,COCO,25.0
2001,DAISY,9.0
2001,MAX,9.0
2001,MOLLY,49.0
2001,ROCKY,16.0
2002,BAILEY,4.0
2002,BELLA,4.0
2002,BUDDY,81.0
2002,CHARLIE,4.0
2002,DAISY,36.0
2002,LUNA,9.0
2002,MAX,49.0
2002,ROCKY,25.0
2003,BAILEY,100.0
2003,BELLA,64.0
2003,BUDDY,121.0
2003,CHARLIE,81.0
2003,COCO,169.0
2003,MAX,144.0
2003,MOLLY,100.0
2003,ROCKY,49.0
2004,BAILEY,144.0
2004,BELLA,25.0
2004,BUDDY,1296.0
2004,CHARLIE,144.0
2004,COCO,144.0
2004,DAISY,100.0
2004,MAX,441.0
2004,MOLLY,100.0
2004,ROCKY,225.0
2005,BAILEY,1.0
2005,BELLA,1369.0
2005,BUDDY,361.0
2005,CHARLIE,484.0
2005,COCO,576.0
2005,DAISY,25.0
2005,MAX,676.0
2005,MOLLY,100.0
2005,ROCKY,441.0
2006,BAILEY,121.0
2006,BELLA,1849.0
2006,BUDDY,1764.0
2006,CHARLIE,81.0
2006,COCO,324.0
2006,DAISY,49.0
2006,LUNA,36.0
2006,MAX,1156.0
2006,MOLLY,324.0
2006,ROCKY,1681.0
2007,BAILEY,576.0
2007,BELLA,2304.0
2007,BUDDY,100.0
2007,CHARLIE,16.0
2007,COCO,400.0
2007,DAISY,729.0
2007,LUNA,9.0
2007,MAX,1936.0
2007,MOLLY,841.0
2007,ROCKY,2601.0
2008,BAILEY,1521.0
2008,BELLA,3721.0
2008,BUDDY,1296.0
2008,CHARLIE,196.0
2008,COCO,225.0
2008,DAISY,625.0
2008,MAX,1600.0
2008,MOLLY,1681.0
2008,ROCKY,400.0
2009,BAILEY,1369.0
2009,BELLA,2025.0
2009,BUDDY,1369.0
2009,CHARLIE,289.0
2009,COCO,2116.0
2009,DAISY,1024.0
2009,LUNA,49.0
2009,MAX,2809.0
2009,MOLLY,196.0
2009,ROCKY,1369.0
2010,BAILEY,1156.0
2010,BELLA,11236.0
2010,BUDDY,2809.0
2010,CHARLIE,1156.0
2010,COCO,3364.0
2010,DAISY,169.0
2010,LUNA,144.0
2010,MAX,1444.0
2010,MOLLY,1156.0
2010,ROCKY,441.0
2011,BAILEY,529.0
2011,BELLA,5329.0
2011,BUDDY,900.0
2011,CHARLIE,729.0
2011,COCO,1681.0
2011,DAISY,784.0
2011,LUNA,4.0
2011,MAX,1024.0
2011,MOLLY,529.0
2011,ROCKY,1936.0
2012,BAILEY,196.0
2012,BELLA,1849.0
2012,BUDDY,576.0
2012,CHARLIE,841.0
2012,COCO,900.0
2012,DAISY,441.0
2012,LUNA,64.0
2012,MAX,441.0
2012,MOLLY,841.0
2012,ROCKY,400.0
2013,BAILEY,1600.0
2013,BELLA,8464.0
2013,BUDDY,784.0
2013,CHARLIE,169.0
2013,COCO,625.0
2013,DAISY,121.0
2013,LUNA,1225.0
2013,MAX,1296.0
2013,MOLLY,441.0
2013,ROCKY,1296.0
2014,BAILEY,900.0
2014,BELLA,676.0
2014,BUDDY,16.0
2014,CHARLIE,1024.0
2014,COCO,484.0
2014,DAISY,2304.0
2014,LUNA,576.0
2014,MAX,1764.0
2014,MOLLY,64.0
2014,ROCKY,1521.0
2015,BAILEY,2025.0
2015,BELLA,729.0
2015,BUDDY,81.0
2015,CHARLIE,1936.0
2015,COCO,121.0
2015,DAISY,1521.0
2015,LUNA,729.0
2015,MAX,841.0
2015,MOLLY,2025.0
2015,ROCKY,1156.0
2016,BAILEY,2116.0
2016,BELLA,2809.0
2016,BUDDY,900.0
2016,CHARLIE,676.0
2016,COCO,400.0
2016,DAISY,841.0
2016,LUNA,1600.0
2016,MAX,1681.0
2016,MOLLY,900.0
2016,ROCKY,324.0
2017,BAILEY,400.0
2017,BELLA,1369.0
2017,BUDDY,289.0
2017,CHARLIE,784.0
2017,COCO,3025.0
2017,DAISY,784.0
2017,LUNA,1024.0
2017,MAX,484.0
2017,MOLLY,441.0
2017,ROCKY,484.0
2018,BAILEY,676.0
2018,BELLA,1225.0
2018,BUDDY,361.0
2018,CHARLIE,729.0
2018,COCO,144.0
2018,DAISY,289.0
2018,LUNA,841.0
2018,MAX,484.0
2018,MOLLY,100.0
2018,ROCKY,100.0
2019,BAILEY,400.0
2019,BELLA,961.0
2019,BUDDY,49.0
2019,CHARLIE,729.0
2019,COCO,625.0
2019,DAISY,36.0
2019,LUNA,1936.0
2019,MAX,324.0
2019,MOLLY,100.0
2019,ROCKY,256.0
2020,BAILEY,64.0
2020,BELLA,400.0
2020,BUDDY,81.0
2020,CHARLIE,324.0
2020,COCO,576.0
2020,DAISY,100.0
2020,LUNA,361.0
2020,MAX,324.0
2020,MOLLY,121.0
2020,ROCKY,225.0
2021,BAILEY,64.0
2021,BELLA,324.0
2021,BUDDY,16.0
2021,CHARLIE,400.0
2021,COCO,289.0
2021,DAISY,9.0
2021,LUNA,441.0
2021,MAX,196.0
2021,MOLLY,16.0
2021,ROCKY,25.0
2022,BAILEY,9.0
2022,BELLA,49.0
2022,BUDDY,16.0
2022,CHARLIE,16.0
2022,COCO,36.0
2022,DAISY,36.0
2022,LUNA,64.0
2022,MAX,49.0
2022,MOLLY,16.0
2022,ROCKY,25.0
2023,BELLA,1.0
2023,BUDDY,1.0
2023,LUNA,1.0
2023,MOLLY,1.0
2023,ROCKY,1.0
